"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
8.7785e-05,0.0010787,0.9409,0.80194,0.73159,295.06,0,0,0
9.4609e-05,0.0012052,0.90522,0.84695,0.6978,295.07,-0.55436,-1.3062,-0.42073
9.3164e-05,0.0012089,0.88638,0.82071,0.76989,295.14,-0.5872,-1.3719,-0.23474
9.1431e-05,0.0011193,0.94631,0.8091,0.66727,295.04,0,0,0
9.6601e-05,0.0012023,0.94698,0.8084,0.60938,295.08,0,0,0
0.00010167,0.0013068,0.94704,0.80694,0.55215,295.13,0,0,0
0.00010488,0.0014166,0.94718,0.80586,0.49445,295.18,0,0,0
0.00010257,0.0015426,0.896,0.81077,0.40716,295.1,-0.12947,-0.22283,-0.15954
8.562e-05,0.0010595,0.94601,0.81514,0.79852,295.17,0,0,0
8.9075e-05,0.0011299,0.92486,0.78199,0.84945,295.39,0,0,0
8.8068e-05,0.0010619,0.96908,0.85079,0.69757,295.03,0,0,0
9.6916e-05,0.0012265,0.91979,0.84879,0.64876,295.07,-0.4954,-1.1801,-0.51199
0.00010243,0.0013577,0.91216,0.84591,0.58097,295.13,-0.33923,-0.79703,-0.4562
0.00010494,0.0014967,0.94719,0.80475,0.43623,295.18,0,0,0
8.3519e-05,0.001008,0.96932,0.85276,0.75433,295.05,0,0,0
0.00010466,0.0014497,0.91207,0.84476,0.52337,295.15,-0.2352,-0.51637,-0.34948
0.00010459,0.0015189,0.91209,0.84367,0.46513,295.14,-0.15377,-0.30729,-0.23132
9.4448e-05,0.0012489,0.8821,0.81231,0.87409,295.62,-0.68146,-1.0346,-0.033439
9.3334e-05,0.0012225,0.89479,0.83437,0.8345,295.3,-0.60524,-1.2771,-0.070015
0.00010243,0.0015505,0.94681,0.80305,0.37775,295.1,0,0,0
8.771e-05,0.0011021,0.93288,0.85179,0.81982,295.23,-0.77507,-1.5163,-0.099628
9.4018e-05,0.0011855,0.92069,0.894,0.72494,295.06,-0.42671,-1.3709,-0.3701
9.4469e-05,0.0011544,0.97066,0.85219,0.64043,295.07,0,0,0
9.8537e-05,0.0012669,0.91219,0.894,0.67968,295.08,-0.33319,-1.1408,-0.37631
0.00010083,0.0012703,0.97121,0.85202,0.58334,295.14,0,0,0
0.00010558,0.001404,0.97146,0.85147,0.52514,295.2,0,0,0
0.00010565,0.0014736,0.89976,0.894,0.57642,295.14,-0.16777,-0.55448,-0.23762
0.00010286,0.0013671,0.9032,0.894,0.63139,295.11,-0.25068,-0.8638,-0.32527
0.00010608,0.0015074,0.9716,0.85084,0.46605,295.22,0,0,0
9.2642e-05,0.0011987,0.91953,0.80509,0.91953,296.77,0,0,0
0.00010369,0.0015614,0.97159,0.85006,0.40662,295.17,0,0,0
0.00010097,0.0015767,0.8808,0.84716,0.39635,295.04,-0.070191,-0.12497,-0.060356
9.9356e-05,0.0015768,0.91084,0.84109,0.3477,295.01,-0.042804,-0.067327,-0.045262
8.2268e-05,0.0010021,0.97482,0.86288,0.81387,295.18,0,0,0
9.1578e-05,0.0011561,0.92316,0.894,0.76777,295.09,-0.46028,-1.4632,-0.28974
8.7175e-05,0.0010933,0.95056,0.82843,0.86194,295.45,0,0,0
8.5599e-05,0.0010338,0.96119,0.894,0.74312,295.02,-0.55855,-1.5095,-0.47187
9.6885e-05,0.0012035,0.95422,0.894,0.64784,295.08,-0.3766,-1.0743,-0.57126
0.00010624,0.0014615,0.94815,0.894,0.53555,295.19,-0.17525,-0.43572,-0.33792
0.00010297,0.0013316,0.95086,0.894,0.5943,295.15,-0.26441,-0.76727,-0.49241
9.8753e-05,0.0015697,0.94624,0.80117,0.31918,295,0,0,0
0.00010245,0.0015905,0.89555,0.894,0.42635,295.06,-0.055357,-0.11807,-0.037336
8.3322e-05,0.0010127,0.96331,0.894,0.78524,295.07,-0.54529,-1.5304,-0.32394
9.0838e-05,0.0011055,0.95836,0.894,0.69718,295.03,-0.45719,-1.3162,-0.54965
0.00010122,0.0013179,0.90631,0.93811,0.69206,295.1,-0.15852,-1.0939,-0.28124
0.00010539,0.0015504,0.94068,0.894,0.47074,295.17,-0.096541,-0.20926,-0.16365
0.00010252,0.0015843,0.94778,0.894,0.40459,295.12,-0.042932,-0.085051,-0.047354
9.6501e-05,0.0012877,0.90445,0.86763,0.87297,295.56,-0.50529,-1.0276,-0.0043955
9.8085e-05,0.0013186,0.91047,0.86994,0.91061,296.15,-0.53495,-0.75402,0.070075
9.4904e-05,0.0015601,0.9459,0.79985,0.26031,294.9,0,0,0
0.00010007,0.0015809,0.97144,0.84914,0.34715,295.06,0,0,0
8.7597e-05,0.0011016,0.95006,0.86114,0.85966,295.44,-0.83152,-1.3551,0.082451
8.41e-05,0.001036,0.96568,0.894,0.82422,295.19,-0.50525,-1.4469,-0.12297
9.0409e-05,0.0011467,0.92863,0.894,0.80677,295.17,-0.44669,-1.4634,-0.19159
9.1264e-05,0.0011384,0.93526,0.93144,0.76303,295.06,-0.25444,-1.5626,-0.31948
9.4348e-05,0.0011721,0.94021,0.93328,0.71199,295.05,-0.20657,-1.4182,-0.38681
0.000103,0.0013494,0.91658,0.93554,0.65388,295.11,-0.15431,-0.95309,-0.29333
0.00010572,0.001379,1,0.894,0.55867,295.69,0,0,0
0.00010724,0.001515,1,0.894,0.49811,295.86,0,0,0
0.00010786,0.0014783,0.95692,0.93696,0.56264,295.21,-0.083338,-0.47734,-0.23189
0.00010708,0.0015614,0.90896,0.94334,0.54487,295.14,-0.062947,-0.31036,-0.093394
0.00010666,0.0014619,0.91794,0.94331,0.60071,295.15,-0.11014,-0.6135,-0.20667
0.0001047,0.0015787,1,0.894,0.43736,295.9,0,0,0
9.3237e-05,0.0012109,0.93495,0.87363,0.88504,295.72,-0.61658,-1.1024,0.070457
9.8176e-05,0.0013128,0.91734,0.84955,0.95976,297.06,0,0,0
9.6195e-05,0.0015715,0.9127,0.84027,0.28861,294.92,-0.011403,-0.01075,-0.0085562
9.1632e-05,0.0015396,0.9458,0.79916,0.20106,294.82,0,0,0
0.00010004,0.0015931,0.89865,0.894,0.36872,295.01,-0.028951,-0.051351,-0.0047757
9.1942e-05,0.001183,0.9324,0.894,0.84507,295.33,-0.45473,-1.3379,-0.07166
8.6122e-05,0.0010729,0.97861,0.8693,0.87182,295.54,0,0,0
9.3e-05,0.0011872,0.92137,0.92635,0.79292,295.12,-0.24925,-1.4681,-0.23291
8.3035e-05,0.00098424,1,0.92831,0.74157,295.59,0,0,0
9.7583e-05,0.001207,0.95795,0.95227,0.67435,295.08,-0.11034,-1.2948,-0.41688
0.00010497,0.0013575,0.95907,0.96557,0.62389,295.16,-0.070639,-0.87748,-0.29782
0.00010575,0.0015972,0.94427,0.95034,0.47977,295.15,-0.035671,-0.14963,-0.028058
0.00010817,0.0015664,0.89756,0.98508,0.57534,295.14,-0.034833,-0.34606,-0.063086
0.00010133,0.0015912,1,0.894,0.37678,295.78,0,0,0
9.1742e-05,0.0011766,0.95976,0.84955,0.91734,295.87,0,0,0
9.3429e-05,0.0015568,0.90874,0.83953,0.22962,294.85,0.0085996,0.027234,0.0067053
0.00010386,0.0016087,0.91767,0.95371,0.44362,295.08,-0.027513,-0.097148,0.0045704
0.00010413,0.0015971,0.96288,0.92811,0.43852,295.18,-0.023823,-0.091851,-0.015068
0.000102,0.0016065,0.91399,0.94367,0.39989,295.04,-0.019755,-0.059097,0.016264
9.9336e-05,0.0015902,0.94947,0.894,0.34322,295.03,-0.015745,-0.025003,0.0065713
8.6614e-05,0.0010828,0.97015,0.894,0.85903,295.41,-0.5185,-1.2616,0.043055
8.6842e-05,0.0010784,0.95069,0.92127,0.80799,295.14,-0.27408,-1.6235,-0.24313
8.3064e-05,0.0010047,0.96783,0.94013,0.78387,295.04,-0.17698,-1.8478,-0.36239
8.6613e-05,0.0010433,0.96514,0.95108,0.74595,295.01,-0.14277,-1.7931,-0.41653
9.0182e-05,0.0010779,1,0.9345,0.69679,295.67,0,0,0
0.00010439,0.0013657,0.92463,0.97456,0.65344,295.12,-0.080737,-0.94687,-0.25138
0.00010847,0.0015255,1,0.94364,0.52953,296.32,0,0,0
0.00010264,0.0016069,1,0.94438,0.40851,296.41,0,0,0
9.9144e-05,0.0013317,0.93929,0.894,0.93781,297.56,-0.43465,-0.57711,0.2093
9.6599e-05,0.0015754,0.97128,0.8483,0.28767,294.95,0,0,0
9.3786e-05,0.0015598,0.97122,0.84775,0.2281,294.87,0,0,0
9.532e-05,0.0015741,0.89992,0.894,0.25012,294.89,0.0067584,0.023812,0.016974
0.00010077,0.0016019,0.95294,0.93903,0.36713,295.06,-0.011504,-0.030453,0.029359
9.4314e-05,0.0012243,0.92101,0.92542,0.82626,295.22,-0.24119,-1.3518,-0.15196
9.0474e-05,0.0011518,0.96594,0.88012,0.89817,295.93,-0.65698,-0.9675,0.17886
9.1913e-05,0.0011822,0.94762,0.894,0.87488,295.58,-0.49162,-1.195,0.038359
9.7637e-05,0.001232,0.92566,0.96972,0.72072,295.07,-0.11724,-1.3669,-0.30681
0.00010334,0.0013561,0.90428,0.97742,0.68757,295.11,-0.085156,-1.012,-0.23812
0.00010819,0.0014904,0.90268,0.99485,0.6271,295.14,-0.0382,-0.59734,-0.12569
0.00010584,0.0016002,1,0.94354,0.46895,296.49,0,0,0
9.2799e-05,0.0011772,0.92568,0.96026,0.7939,295.11,-0.13177,-1.5537,-0.24834
0.00010839,0.0015814,0.95224,0.97655,0.52996,295.19,-0.028326,-0.24507,-0.056297
0.00010953,0.0015084,0.94722,1.0093,0.58978,295.19,-0.022564,-0.49883,-0.11282
0.00010624,0.001604,0.90895,0.96794,0.50501,295.11,-0.028271,-0.1743,-0.016646
9.6308e-05,0.0012699,0.94582,0.894,0.91515,296.41,-0.46825,-0.82604,0.15126
9.6803e-05,0.0012844,0.93093,0.894,0.89395,295.86,-0.4073,-0.9534,0.049136
9.965e-05,0.0013366,0.95757,0.894,0.95757,304.06,0,0,0
9.0865e-05,0.0015368,0.9233,0.83346,0.16962,294.8,0.023951,0.055997,0.010478
8.8712e-05,0.0015146,0.94579,0.79878,0.14164,294.75,0,0,0
9.6683e-05,0.0015805,0.94991,0.894,0.28298,294.95,-0.0006179,0.0038006,0.023441
9.9533e-05,0.0015994,0.91017,0.93605,0.33932,294.98,-0.0076837,-0.018417,0.023864
9.8101e-05,0.0015868,1,0.894,0.31632,295.65,0,0,0
8.9657e-05,0.0011363,0.97529,0.894,0.89014,295.84,-0.46739,-1.0016,0.14452
8.6928e-05,0.0010877,0.96905,0.9289,0.85308,295.35,-0.1956,-1.548,-0.11757
9.2438e-05,0.001151,0.93568,0.96779,0.7596,295.05,-0.12138,-1.6075,-0.31262
9.2504e-05,0.0011816,0.92956,0.95008,0.81878,295.17,-0.15194,-1.5219,-0.20117
9.3481e-05,0.0011362,0.96022,0.98678,0.70928,295.04,-0.06585,-1.5978,-0.38746
0.00010559,0.0013418,1,0.99796,0.62444,295.94,0,0,0
