Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
8.72E-05,0.001668,0.51974,0.94345,-0.40982,294.74,0.04641,0.059758,-0.066079
9.59E-05,0.0016726,0.54004,1.1105,-0.4044,294.84,0.048253,0.05707,-0.060129
9.63E-05,0.0017149,0.54238,1.1232,-0.55336,294.89,0.06761,0.046316,-0.064677
0.00010071,0.0016934,0.53572,1.2073,-0.49368,294.91,0.060987,0.051194,-0.060889
9.81E-05,0.0016905,0.59873,1.1596,-0.51222,294.89,0.058835,0.051587,-0.068495
9.48E-05,0.0017199,0.59123,1.0923,-0.5932,294.89,0.071836,0.040824,-0.070764
0.00010027,0.0016773,0.52743,1.1923,-0.41055,294.89,0.050667,0.054377,-0.056942
9.84E-05,0.0017085,0.57347,1.1673,-0.56632,294.91,0.069864,0.047654,-0.06674
9.49E-05,0.0017437,0.58961,1.0933,-0.66336,294.92,0.089017,0.034902,-0.067865
9.73E-05,0.0017308,0.58503,1.1453,-0.64481,294.93,0.085644,0.040931,-0.067108
0.00010087,0.0016992,0.56361,1.2148,-0.53932,294.92,0.067073,0.050663,-0.064585
9.84E-05,0.0017487,0.51837,1.1673,-0.67927,294.94,0.09437,0.041024,-0.057071
9.57E-05,0.0017641,0.56147,1.1098,-0.71703,294.94,0.10303,0.034193,-0.059103
0.00010341,0.0016867,0.5458,1.2589,-0.48119,294.93,0.060419,0.052015,-0.060564
0.00010124,0.001725,0.53133,1.2244,-0.63748,294.95,0.086846,0.045707,-0.059911
0.00010118,0.0017114,0.57652,1.2252,-0.60743,294.95,0.079614,0.048995,-0.065964
0.00010309,0.0017061,0.52166,1.2571,-0.56503,294.95,0.074214,0.049082,-0.059613
9.54E-05,0.0017891,0.53988,1.1055,-0.78059,294.96,0.11865,0.030812,-0.048461
9.90E-05,0.0017301,0.60522,1.1831,-0.67987,294.96,0.093979,0.042436,-0.067501
0.00010391,0.0017137,0.53198,1.2774,-0.6258,294.97,0.085936,0.048769,-0.059786
9.91E-05,0.0017487,0.56009,1.183,-0.72363,294.97,0.10531,0.040271,-0.058047
9.71E-05,0.0017639,0.58584,1.142,-0.76518,294.97,0.11674,0.033797,-0.056253
