"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.0001294,0.0017554,-0.68224,1.6186,-0.052278,295.28,0.0022921,0.01243,0.0024145
0.00012686,0.0017475,-0.63916,1.5789,-0.049667,295.25,0.0021318,0.013419,0.0022027
0.00012488,0.0017381,-0.75549,1.5481,-0.099029,295.24,0.0022638,0.012184,0.0023778
0.00013639,0.0017633,-0.55127,1.712,-0.061814,295.34,0.0020167,0.012647,0.0012458
0.0001581,0.0017545,-0.22853,1.9565,-0.069197,295.47,-0.00083727,0.010407,0.001176
0.00014902,0.0017868,-0.45162,1.8867,-0.027178,295.45,0.0004872,0.011134,0.00010285
0.00012378,0.0017387,-0.654,1.5321,-0.057662,295.21,0.0018138,0.013695,0.0021733
0.00013204,0.0017621,-0.56069,1.655,-0.017175,295.29,0.002339,0.013438,0.0020438
0.00013996,0.0017751,-0.57105,1.7668,-0.050446,295.38,0.0016952,0.011821,0.0010406
0.00017519,0.0016544,0.31493,2.004,-0.046716,295.42,-0.016617,0.005637,0.051672
0.00016506,0.0017377,-0.098202,2.004,-0.061306,295.49,-0.0022834,0.00968,0.003399
0.00015674,0.0017659,-0.296,1.9553,-0.062761,295.48,-0.00081254,0.010616,0.00033104
0.00015454,0.0017868,-0.43349,1.956,-0.055726,295.5,-0.00094436,0.010731,-0.00091254
0.00014165,0.001772,-0.48564,1.7832,-0.044378,295.38,0.0016338,0.012262,0.00087388
0.00012352,0.0017389,-0.70362,1.5297,-0.05977,295.22,0.001972,0.013237,0.0025286
0.00012992,0.0017597,-0.63574,1.6276,-0.02381,295.28,0.0022886,0.013023,0.0025032
0.00013317,0.0017671,-0.67342,1.6754,-0.040907,295.33,0.0022921,0.011763,0.0023354
0.0001335,0.0017697,-0.61962,1.6803,-0.016877,295.32,0.0023049,0.012471,0.002345
0.0001395,0.0017811,-0.62214,1.7664,-0.038934,295.39,0.0018447,0.011147,0.001394
0.00018345,0.0017234,0.010527,2.1559,-0.052496,295.58,-0.0035608,0.011469,0.0037746
0.00016864,0.0017482,-0.13721,2.0571,-0.054638,295.53,-0.0025434,0.0099899,0.0017539
0.00016208,0.0017598,-0.20881,2.004,-0.043415,295.5,-0.0012402,0.010059,0.0010698
0.00015236,0.0017818,-0.38234,1.9205,-0.029355,295.47,0.00011635,0.01091,5.4373e-05
0.00014951,0.0017914,-0.51095,1.8995,-0.04405,295.47,4.7688e-05,0.010785,-0.00042521
0.0001388,0.0017733,-0.5215,1.7486,-0.025814,295.36,0.0019935,0.012494,0.0013527
0.00012732,0.0017512,-0.73281,1.5889,-0.053565,295.27,0.0023243,0.012164,0.0028938
0.00012418,0.0017385,-0.81948,1.5404,-0.089556,295.25,0.0021341,0.011622,0.0030043
0.00013702,0.0017789,-0.59136,1.7316,-0.00868,295.36,0.0021611,0.012036,0.0020071
0.00013792,0.0017852,-0.66675,1.7494,-0.017405,295.38,0.0021231,0.010651,0.0021966
0.00016047,0.0017755,-0.26007,2.004,-0.0094283,295.51,-0.00062597,0.0099583,0.0003735
0.00015336,0.0018016,-0.48637,1.9555,-0.025374,295.5,-0.00058723,0.010273,-0.00099645
0.00015744,0.0017978,-0.46846,2.004,-0.05457,295.53,-0.001867,0.010251,-0.001919
0.00014612,0.0017866,-0.47565,1.8509,-0.017515,295.43,0.001065,0.011436,0.00051434
0.00014204,0.0017793,-0.53299,1.7953,-0.037062,295.39,0.0015097,0.011821,0.00090112
0.00012532,0.0017515,-0.70234,1.5625,-0.012276,295.24,0.0021335,0.013167,0.0032823
0.00012807,0.0017587,-0.78967,1.6042,-0.03201,295.29,0.002313,0.011148,0.0038162
0.00012198,0.0017418,-0.76266,1.5127,-0.018838,295.22,0.001936,0.013262,0.0036667
0.00013976,0.0017946,-0.59628,1.778,0.021984,295.39,0.0021214,0.011227,0.0021513
0.00016619,0.0017651,-0.18987,2.0528,-0.016218,295.54,-0.0013678,0.0096285,0.00075542
0.00016891,0.0017711,-0.22434,2.0942,-0.032715,295.57,-0.0022814,0.0097436,-0.00061829
0.00017322,0.0017599,-0.18757,2.1266,-0.060361,295.59,-0.0030356,0.010156,-0.00056607
0.00020215,0.0016182,0.41694,2.1382,-0.053626,295.5,-0.013944,0.04157,0.073455
0.00016301,0.0017548,-0.15375,2.004,-0.020144,295.5,-0.00074203,0.0096994,0.002178
0.00015978,0.0017791,-0.31248,2.004,-0.033409,295.52,-0.0012559,0.010241,-0.000347
0.00015529,0.0017835,-0.32963,1.9544,-0.0039762,295.49,8.2247e-05,0.010428,0.00022954
0.00015787,0.0017972,-0.41628,2.004,-0.027566,295.53,-0.0013855,0.010208,-0.001362
0.00016419,0.0017739,-0.296,2.0503,-0.062761,295.55,-0.0025961,0.010289,-0.00088527
0.00013588,0.0017782,-0.7245,1.7198,-0.0368,295.37,0.002203,0.010137,0.0025649
0.00014453,0.0017901,-0.6415,1.8393,-0.061103,295.44,0.0010177,0.0099858,0.00028543
0.00014866,0.0017953,-0.57323,1.8946,-0.052166,295.47,0.00016863,0.010329,-0.0005067
0.00015309,0.0018007,-0.53892,1.9553,-0.053221,295.51,-0.00089052,0.010124,-0.0014876
0.0001537,0.0018015,-0.43402,1.956,0.0017542,295.5,-0.00017879,0.010287,-0.00049824
0.00014909,0.0018062,-0.49874,1.9036,0.017628,295.47,0.00071443,0.010426,0.00025709
0.00014597,0.0017957,-0.54149,1.858,-0.012807,295.44,0.0009968,0.010826,0.00051463
0.00014335,0.0017865,-0.4992,1.8158,-0.0045911,295.41,0.0015768,0.011706,0.0010363
0.0001315,0.0017716,-0.70155,1.6576,-0.0018603,295.32,0.0024115,0.011782,0.0033204
0.00012473,0.0017545,-0.78904,1.5586,0.002359,295.26,0.0021626,0.012373,0.0044634
0.00013389,0.0017835,-0.6797,1.6966,0.023327,295.35,0.002464,0.011455,0.0034451
0.00013804,0.0017853,-0.54819,1.748,0.02423,295.37,0.0022864,0.012279,0.0021451
0.0001426,0.0017918,-0.56568,1.8123,-0.0067063,295.41,0.0016005,0.01117,0.0011883
0.00014167,0.0017956,-0.64701,1.8049,-0.013532,295.42,0.0017441,0.010103,0.0015747
0.00017277,0.0017524,-0.14213,2.1072,-0.049261,295.57,-0.0026954,0.010022,0.00069745
0.00017718,0.0017536,-0.1468,2.1563,-0.059894,295.6,-0.0029362,0.010278,-0.00048162
0.00016446,0.0017747,-0.25876,2.0497,-0.029489,295.54,-0.0018012,0.009903,-0.00032748
0.00015828,0.0017952,-0.36423,2.004,-0.0016734,295.53,-0.00086582,0.0099696,-0.00076452
0.00014616,0.001801,-0.61103,1.8666,-0.026502,295.46,0.00092534,0.0099218,0.00034993
0.00016159,0.0017981,-0.43349,2.0537,-0.055726,295.57,-0.002811,0.010101,-0.0025085
0.00015012,0.0018032,-0.44771,1.9118,0.026476,295.47,0.0007515,0.010587,0.00033621
0.00015224,0.0018169,-0.53956,1.9553,0.0044558,295.51,-0.00014451,0.0095786,-0.00078906
0.00013182,0.0017743,-0.75226,1.6643,-0.0058488,295.33,0.0024023,0.0107,0.0037952
0.00012685,0.0017521,-0.84529,1.5848,-0.053463,295.29,0.002085,0.010474,0.0039869
0.00013481,0.0017753,-0.83091,1.705,-0.054389,295.38,0.002092,0.0078172,0.0034211
0.00013378,0.0017698,-0.89532,1.6891,-0.071706,295.39,0.0015807,0.0060992,0.0040463
0.00013769,0.0017871,-0.79021,1.7498,-0.035994,295.4,0.0021088,0.0079378,0.0029124
0.00013312,0.0017809,-0.80691,1.6869,-0.0033507,295.36,0.0023058,0.0089477,0.0043613
0.00012773,0.0017654,-0.748,1.6043,0.014778,295.29,0.0023817,0.012117,0.0042534
0.00013752,0.0017979,-0.66224,1.7534,0.038425,295.39,0.0023561,0.010635,0.003211
0.00013927,0.0017927,-0.72663,1.7732,-0.019459,295.41,0.0020298,0.00908,0.0023668
0.00016125,0.0017711,-0.20706,2.004,0.014903,295.51,1.8637e-05,0.0096323,0.0012396
0.00016993,0.0017769,-0.26263,2.1173,-0.045675,295.59,-0.0028983,0.0098809,-0.0016223
0.00016418,0.0017825,-0.24247,2.0516,0.017682,295.55,-0.00075978,0.009355,-6.4266e-05
0.00016275,0.0017885,-0.29,2.0449,0.0079283,295.55,-0.001106,0.009552,-0.00062039
0.00016205,0.0017967,-0.38157,2.0535,-0.029283,295.56,-0.002247,0.0099133,-0.001872
0.00016269,0.0017938,-0.32963,2.0536,-0.0039762,295.56,-0.0016264,0.0096379,-0.0012789
0.00015412,0.0017999,-0.38185,1.9566,0.027859,295.5,0.00031803,0.010216,-2.2551e-05
0.0001366,0.0017967,-0.73034,1.7418,0.027026,295.39,0.0023716,0.0095577,0.0037442
0.00014858,0.0018128,-0.57301,1.9055,0.0068888,295.48,0.00065395,0.0097122,0.0001385
0.00015603,0.0018127,-0.57427,2.004,-0.052661,295.55,-0.0016122,0.0093513,-0.0025205
0.00015193,0.0018093,-0.69819,1.9536,-0.078717,295.53,-0.00034386,0.0077074,-0.001987
0.00015656,0.001814,-0.46906,2.004,0.0030404,295.54,-0.0010384,0.0096798,-0.0014709
0.00015624,0.0018138,-0.52158,2.004,-0.024593,295.54,-0.0013513,0.0095874,-0.0019916
0.00015176,0.0018282,-0.50487,1.9542,0.061339,295.51,0.0004393,0.0093595,1.4094e-05
0.00014622,0.0017907,-0.44521,1.8525,0.01451,295.43,0.0014511,0.011459,0.0009407
0.00016018,0.0018152,-0.48637,2.0538,-0.025374,295.57,-0.002261,0.0094819,-0.0027505
0.0001399,0.0017844,-0.82882,1.7775,-0.077751,295.43,0.0017417,0.006208,0.0022099
0.00012773,0.0017696,-0.81063,1.6087,0.026909,295.3,0.002278,0.011095,0.0052619
0.0001416,0.0017986,-0.54881,1.8033,0.03702,295.41,0.0020201,0.011332,0.0018891
0.00014345,0.0018043,-0.60321,1.8329,0.014363,295.43,0.0016197,0.010258,0.0014412
0.00014273,0.001799,-0.70118,1.8225,-0.028921,295.44,0.0016454,0.0088399,0.0013577
0.00014057,0.0018107,-0.7079,1.8025,0.03255,295.43,0.0021151,0.0086961,0.0029724
0.00017771,0.0017481,-0.10105,2.1484,-0.040205,295.59,-0.0023988,0.010045,0.00067113
0.00015886,0.001792,-0.31217,2.004,0.023154,295.52,-0.00025674,0.0097494,-0.00012984
0.00016506,0.0017977,-0.35363,2.0894,-0.02074,295.58,-0.0025151,0.0096445,-0.0021781
0.0001606,0.0018146,-0.43402,2.0538,0.0017542,295.57,-0.0018617,0.0093948,-0.0022063
0.00015697,0.0018128,-0.41672,2.004,0.029788,295.54,-0.00059309,0.009588,-0.00096109
0.00015737,0.0018101,-0.3646,2.004,0.055464,295.53,-1.1546e-05,0.0093724,-0.00046411
0.00014724,0.0018112,-0.70546,1.8916,-0.03467,295.49,0.00099582,0.0077014,0.00016878
0.0001444,0.0018182,-0.67199,1.8565,0.024253,295.46,0.001634,0.0084999,0.0017341
0.00014887,0.0018165,-0.62617,1.9142,-0.0070941,295.49,0.00057509,0.0089037,-0.00010416
0.00016003,0.0018083,-0.55625,2.0528,-0.081897,295.58,-0.0031224,0.0096214,-0.0037767
0.0001521,0.0018154,-0.5923,1.9552,-0.023541,295.52,-0.00033242,0.0091923,-0.0011998
0.00015138,0.0018235,-0.66319,1.954,-0.022122,295.53,7.3096e-05,0.0078447,-0.0010688
0.00015529,0.0018315,-0.5222,2.004,0.03298,295.55,-0.00065006,0.0089172,-0.0013295
0.00014501,0.0018032,-0.48571,1.8485,0.050446,295.43,0.0017703,0.011137,0.0014528
0.00013128,0.001772,-0.8688,1.6574,-0.022859,295.36,0.0019426,0.0080464,0.004915
0.00014108,0.0018,-0.77444,1.8023,-0.025273,295.44,0.0019274,0.007237,0.0023297
0.00013574,0.0017916,-0.77749,1.728,0.0095932,295.39,0.0023392,0.0087322,0.0039894
0.00014096,0.0018077,-0.63739,1.8038,0.040279,295.42,0.0021033,0.010082,0.0025163
0.00017488,0.0017731,-0.22689,2.1659,-0.046269,295.62,-0.0029069,0.0097629,-0.0020804
0.00018214,0.001751,-0.12213,2.2002,-0.058331,295.63,-0.0026016,0.010401,-0.0011823
0.00017695,0.0017717,-0.17817,2.1796,-0.011086,295.63,-0.0018557,0.0091221,-0.0017241
0.00016685,0.0017861,-0.29834,2.0936,-0.027427,295.58,-0.0024936,0.0096961,-0.001665
0.00016802,0.0017807,-0.25557,2.0974,-0.018271,295.58,-0.0021269,0.009585,-0.0011635
0.00018417,0.0017481,-0.07031,2.2093,-0.019505,295.63,-0.0011935,0.0096421,-0.00049663
0.00021605,0.0016432,0.36553,2.2345,-0.04785,295.59,0.0014295,0.03512,0.029567
0.00015956,0.001788,-0.26029,2.004,0.047572,295.52,0.0004289,0.0094612,0.00058392
0.00016281,0.0018136,-0.39082,2.0781,0.014678,295.58,-0.0018654,0.0091561,-0.0022405
0.00016843,0.0017914,-0.34036,2.1243,-0.048052,295.6,-0.0033644,0.0098426,-0.0027187
0.00015508,0.0018307,-0.5749,2.004,0.0049797,295.55,-0.00079949,0.0085829,-0.0017739
0.0001512,0.001833,-0.59289,1.9552,0.033961,295.52,0.00029009,0.0085071,-0.00032979
0.00014579,0.0018136,-0.54793,1.8685,0.046965,295.45,0.001478,0.010236,0.0013142
0.00016274,0.0018168,-0.52108,2.0925,-0.054616,295.6,-0.0033553,0.0094309,-0.0040576
0.00013244,0.0017708,-0.95395,1.6738,-0.05111,295.42,0.00093585,0.0044573,0.0054491
0.00012713,0.001763,-0.89572,1.5981,-0.0027466,295.32,0.0016556,0.0095274,0.0057421
0.00013381,0.0017867,-0.90158,1.7015,0.00011093,295.4,0.0016037,0.0056221,0.0057948
0.00013708,0.0017874,-0.88925,1.7442,-0.039693,295.43,0.0016491,0.0046807,0.0042376
0.00013627,0.001795,-0.8362,1.7376,0.0056975,295.41,0.0021246,0.0067023,0.0046007
0.00014131,0.0018054,-0.82944,1.8093,-0.018827,295.46,0.0018631,0.0051126,0.0030716
0.00013962,0.0018115,-0.77699,1.7908,0.029302,295.43,0.0021936,0.0071156,0.0037535
0.0001335,0.0017939,-0.79199,1.7012,0.046925,295.37,0.0024327,0.0090979,0.005251
0.00014415,0.0018027,-0.79903,1.8454,-0.053132,295.47,0.0015221,0.0057521,0.0013791
0.00016816,0.0017861,-0.24332,2.1022,0.013687,295.58,-0.0014577,0.0091302,-0.0010939
0.00017143,0.0017887,-0.2562,2.1455,-0.0011059,295.61,-0.0021213,0.0090518,-0.002132
0.0002196,0.0016799,0.23121,2.3184,-0.052627,295.67,0.0049844,0.01831,0.00062458
